IDResp;Items
Resp_9;cloporte
Resp_9;mante_religieuse
Resp_9;cousin
Resp_9;moustique
Resp_9;mite
Resp_9;mouche
Resp_9;araignee
Resp_9;chenille
Resp_9;ver_de_terre
Resp_9;blatte
Resp_9;cafard
Resp_9;fourmi
Resp_9;papillon
Resp_9;libellule
Resp_10;coccinelle
Resp_10;cafard
Resp_10;coleoptere
Resp_10;fourmi
Resp_10;araignee
Resp_10;mouche
Resp_10;guepe
Resp_10;frelon
Resp_10;abeille
Resp_11;tarentule
Resp_11;blatte
Resp_11;mouche
Resp_11;mante_religieuse
Resp_11;libellule
Resp_11;cafard
Resp_11;scarabee
Resp_11;coleoptere
Resp_11;abeille
Resp_11;frelon
Resp_11;guepe
Resp_11;moustique
Resp_11;mouche_tse_tse
Resp_11;moustique_tigre
Resp_11;veuve_noire
Resp_11;fourmi
Resp_11;fourmi_rouge
Resp_11;araignee
Resp_11;puce
Resp_11;tique
Resp_11;taon
Resp_11;pou
Resp_12;papillon
Resp_12;coccinelle
Resp_12;abeille
Resp_12;fourmi
Resp_12;guepe
Resp_12;mouche
Resp_12;frelon
Resp_12;bourdon
Resp_12;punaise
Resp_12;phasme
Resp_12;puce
Resp_12;moustique
Resp_12;sauterelle
Resp_12;criquet
Resp_13;sauterelle
Resp_13;fourmi
Resp_13;araignee
Resp_13;coccinelle
Resp_13;scarabee
Resp_13;papillon
Resp_13;cafard
Resp_13;blatte
Resp_13;abeille
Resp_13;bourdon
Resp_14;fourmi
Resp_14;sauterelle
Resp_14;punaise
Resp_14;cafard
Resp_14;pou
Resp_14;araignee
Resp_14;moustique
Resp_14;scarabee
Resp_15;scarabee
Resp_15;abeille
Resp_15;guepe
Resp_15;papillon
Resp_15;mante_religieuse
Resp_15;pince_oreilles
Resp_15;fourmi
Resp_15;mouche
Resp_15;frelon
Resp_15;cafard
Resp_15;araignee
Resp_15;termite
Resp_15;ver_de_terre
Resp_15;scorpion
Resp_15;fourmi_volante
Resp_15;mille_pattes
Resp_15;faucheuse
Resp_15;libellule
Resp_15;moucheron
Resp_15;blatte
Resp_15;moustique
Resp_16;cafard
Resp_16;scarabee
Resp_16;blatte
Resp_16;scorpion
Resp_16;moustique
Resp_16;mouche
Resp_16;libellule
Resp_16;guepe
Resp_16;abeille
Resp_16;taon
Resp_16;cousin
Resp_16;frelon
Resp_16;cigale
Resp_16;grillon
Resp_16;mante_religieuse
Resp_16;bourdon
Resp_16;sauterelle
Resp_16;coccinelle
Resp_17;bourdon
Resp_17;abeille
Resp_17;mante_religieuse
Resp_17;moustique
Resp_17;coccinelle
Resp_17;fourmi
Resp_17;guepe
Resp_17;mouche
Resp_17;cafard
Resp_17;scarabee
Resp_17;papillon
Resp_17;frelon
Resp_17;moucheron
Resp_17;gendarme
Resp_17;blatte
Resp_18;fourmi
Resp_18;guepe
Resp_18;abeille
Resp_18;cafard
Resp_18;papillon
Resp_18;bourdon
Resp_18;punaise
Resp_18;scarabee
Resp_18;moustique
Resp_18;cousin
Resp_18;mouche
Resp_18;moucheron
Resp_18;libellule
Resp_18;blatte
Resp_18;puce
Resp_18;pou
Resp_18;morpion
Resp_18;punaise_de_lit
Resp_18;acarien
Resp_19;fourmi
Resp_19;guepe
Resp_19;abeille
Resp_19;mouche
Resp_19;moustique
Resp_19;mante_religieuse
Resp_19;araignee
Resp_19;tique
Resp_19;limace
Resp_19;escargot
Resp_19;libellule
Resp_19;cloporte
Resp_19;coccinelle
Resp_19;papillon_de_nuit
Resp_19;sauterelle
Resp_19;grillon
Resp_19;mille_pattes
Resp_19;ver_de_terre
Resp_20;fourmi
Resp_20;sauterelle
Resp_20;mante_religieuse
Resp_20;scarabee
Resp_20;abeille
Resp_20;mouche
Resp_20;moucheron
Resp_20;limace
Resp_20;moustique
Resp_20;cousin
Resp_20;araignee
Resp_20;araignee_d’eau
Resp_20;taon
Resp_20;mille_pattes
Resp_20;gendarme
Resp_20;puceron
Resp_20;puce
Resp_20;tique
Resp_20;coleoptere
Resp_20;chenille
Resp_20;punaise
Resp_20;punaise_de_lit
Resp_20;grillon
Resp_20;criquet
Resp_21;cafard
Resp_21;coccinelle
Resp_21;sauterelle
Resp_21;pince_oreilles
Resp_21;fourmi
Resp_21;cigale
Resp_21;guepe
Resp_22;scarabee
Resp_22;chenille
Resp_22;abeille
Resp_22;guepe
Resp_22;bourdon
Resp_22;gendarme
Resp_22;fourmi
Resp_22;moucheron
Resp_22;mouche
Resp_22;moustique
Resp_22;mante_religieuse
Resp_22;coccinelle
Resp_22;phasme
Resp_22;bousier
Resp_22;araignee
Resp_22;papillon
Resp_22;puce
Resp_22;pou
Resp_22;mille_pattes
Resp_22;ver_de_terre
Resp_22;libellule
Resp_22;sauterelle
Resp_23;araignee
Resp_23;moustique
Resp_23;mille_pattes
Resp_23;vers_de_farine
Resp_23;grillon
Resp_23;sauterelle
Resp_23;mante_religieuse
Resp_23;scarabee
Resp_23;coccinelle
Resp_23;mouche
Resp_23;libellule
Resp_23;fourmi
Resp_23;guepe
Resp_23;frelon
Resp_23;abeille
Resp_23;tique
Resp_23;puce
Resp_23;punaise_de_lit
Resp_23;phasme
Resp_23;asticot
Resp_23;mygale
Resp_23;cousin
Resp_23;papillon
Resp_23;chenille
Resp_24;termite
Resp_24;criquet
Resp_24;libellule
Resp_24;cafard
Resp_24;mille_pattes
Resp_24;papillon
Resp_24;araignee
Resp_24;scorpion
Resp_24;chenille
Resp_24;abeille
Resp_24;guepe
Resp_24;mygale
Resp_24;mouche
Resp_24;moustique
Resp_24;fourmi
Resp_25;fourmi
Resp_25;termite
Resp_25;punaise
Resp_25;cafard
Resp_25;coccinelle
Resp_25;papillon
Resp_25;limace
Resp_25;chenille
Resp_25;mouche
Resp_25;moucheron
Resp_25;abeille
Resp_26;cafard
Resp_26;blatte
Resp_26;fourmi
Resp_26;sauterelle
Resp_26;libellule
Resp_26;coccinelle
Resp_26;ver_de_terre
Resp_26;mante_religieuse
Resp_26;phasme
Resp_26;pou
Resp_26;acarien
Resp_26;tique
Resp_26;gendarme
Resp_26;termite
Resp_26;papillon
Resp_26;araignee
Resp_26;mygale
Resp_27;cafard
Resp_27;fourmi
Resp_27;moustique
Resp_27;araignee
Resp_27;libellule
Resp_27;sauterelle
Resp_27;papillon
Resp_27;scorpion
Resp_27;chenille
Resp_27;coccinelle
Resp_27;mouche
Resp_27;gendarme
Resp_27;criquet
Resp_27;scarabee
Resp_28;fourmi
Resp_28;abeille
Resp_28;phasme
Resp_28;araignee
Resp_28;chenille
Resp_28;mille_pattes
Resp_28;mouche
Resp_29;moustique
Resp_29;fourmi
Resp_29;abeille
Resp_29;lezard
Resp_29;limace
Resp_29;coccinelle
Resp_29;gendarme
Resp_29;araignee
Resp_30;papillon
Resp_30;moustique
Resp_30;mouche
Resp_30;araignee
Resp_30;abeille
Resp_30;gendarme
Resp_30;fourmi
Resp_31;mouche
Resp_31;araignee
Resp_31;mille_pattes
Resp_31;abeille
Resp_31;sauterelle
Resp_32;cigale
Resp_32;papillon
Resp_32;libellule
Resp_32;cafard
Resp_32;araignee
Resp_32;ver_de_terre
Resp_32;luciole
Resp_32;coccinelle
Resp_32;moustique
Resp_33;abeille
Resp_33;mouche
Resp_33;moustique
Resp_33;papillon
Resp_33;sauterelle
Resp_33;bourdon
Resp_33;coccinelle
Resp_34;guepe
Resp_34;scarabee
Resp_34;fourmi
Resp_34;mante_religieuse
Resp_34;sauterelle
Resp_34;coccinelle
Resp_34;punaise
Resp_34;abeille
Resp_34;bourdon
Resp_34;taon
Resp_34;araignee
Resp_34;papillon
Resp_35;cafard
Resp_35;abeille
Resp_35;sauterelle
Resp_35;libellule
Resp_35;fourmi
Resp_35;scarabee
Resp_35;moucheron
Resp_36;fourmi
Resp_36;coccinelle
Resp_36;abeille
Resp_36;mante_religieuse
Resp_36;guepe
Resp_36;araignee
Resp_37;cafard
Resp_37;tique
Resp_37;abeille
Resp_37;larve
Resp_37;guepe
Resp_37;araignee
Resp_38;cloporte
Resp_38;mouche_bleue
Resp_38;pou
Resp_38;abeille
Resp_38;guepe
Resp_38;araignee
Resp_39;tique
Resp_39;coccinelle
Resp_39;fourmi
Resp_39;mouche
Resp_39;grillon
Resp_39;punaise_de_lit
Resp_40;fourmi
Resp_40;papillon
Resp_40;abeille
Resp_40;mante_religieuse
Resp_40;guepe
Resp_40;araignee
Resp_41;fourmi
Resp_41;cafard
Resp_41;papillon
Resp_41;moustique
Resp_41;larve
Resp_41;guepe
Resp_41;abeille
Resp_41;moucheron
Resp_41;gendarme
Resp_42;papillon
Resp_42;coccinelle
Resp_42;abeille
Resp_42;fourmi
Resp_42;guepe
Resp_42;mouche_a_caca
Resp_42;moustique
Resp_43;scarabee
Resp_43;abeille
Resp_43;mante_religieuse
Resp_43;araignee
Resp_43;mouche
Resp_43;cloporte
Resp_43;pince_oreilles
Resp_43;cafard
Resp_43;ver_de_terre
Resp_44;mille_pattes
Resp_44;araignee
Resp_44;sauterelle
Resp_44;asticot
Resp_44;cousin
Resp_44;moustique
Resp_44;libellule
Resp_44;luciole
Resp_44;puce
Resp_44;pince_oreilles
Resp_45;moustique
Resp_45;cafard
Resp_45;fourmi
Resp_45;papillon
Resp_45;criquet
Resp_45;pince_oreilles
Resp_45;scorpion
Resp_45;scarabee
Resp_45;sauterelle
Resp_45;moucheron
Resp_45;blatte
Resp_45;pou
Resp_46;mante_religieuse
Resp_46;fourmi
Resp_46;macrodontia_cerviconis
Resp_46;lucane_cerf_volant
Resp_46;coleoptere
Resp_46;coccinelle
Resp_46;phasme
Resp_46;scarabee
Resp_46;gendarme
Resp_46;mouche
Resp_46;papillon
Resp_46;araignee
Resp_46;moustique
Resp_46;tique
Resp_46;grillon
Resp_46;sauterelle
Resp_47;coccinelle
Resp_47;criquet
Resp_47;sauterelle
Resp_47;fourmi
Resp_47;gendarme
Resp_47;blatte
Resp_47;papillon
Resp_47;mante_religieuse
Resp_47;termite
Resp_47;puce
Resp_47;pou
Resp_47;pince_oreilles
Resp_47;mille_pattes
Resp_47;tique
Resp_47;cafard
Resp_47;libellule
Resp_48;scarabee
Resp_48;fourmi
Resp_48;mille_pattes
Resp_48;cafard
Resp_48;papillon
Resp_48;mouche
Resp_48;moustique
Resp_48;libellule
Resp_48;poisson_d'argent
Resp_48;chenille
Resp_48;gendarme
Resp_48;mante_religieuse
Resp_49;araignee
Resp_49;mouche
Resp_49;moustique
Resp_49;abeille
Resp_49;guepe
Resp_49;criquet
Resp_49;scarabee
Resp_49;cafard
Resp_49;mante_religieuse
Resp_49;gendarme
Resp_49;taon
Resp_49;aoutat
Resp_50;mouche
Resp_50;guepe
Resp_50;frelon
Resp_50;araignee
Resp_50;fourmi
Resp_50;abeille
Resp_50;scarabee
Resp_50;coccinelle
Resp_50;blatte
Resp_50;cafard
Resp_50;papillon
Resp_50;chenille
Resp_50;limace
Resp_50;cigale
Resp_50;puce
Resp_50;tique
Resp_50;morpion
Resp_50;pou
Resp_51;fourmi
Resp_51;coccinelle
Resp_51;mante_religieuse
Resp_51;scarabee
Resp_51;bousier
Resp_51;frelon
Resp_51;guepe
Resp_51;abeille
Resp_51;ver_de_terre
Resp_51;araignee
Resp_51;puce
Resp_51;tique
Resp_51;sauterelle
Resp_51;criquet
Resp_51;gendarme
Resp_51;mouche
Resp_51;termite
Resp_51;escargot
Resp_51;limace
Resp_51;libellule
Resp_51;cigale
Resp_52;fourmi
Resp_52;coleoptere
Resp_52;abeille
Resp_52;mouche
Resp_52;pince_oreilles
Resp_52;scarabee
Resp_52;gendarme
Resp_52;libellule
Resp_52;coccinelle
Resp_52;puceron
Resp_52;bousier
Resp_52;sauterelle
Resp_52;cigale
Resp_52;grillon
Resp_52;mante_religieuse
Resp_52;phasme
Resp_52;ver_de_terre
Resp_52;limace
Resp_53;fourmi
Resp_53;araignee
Resp_53;mouche
Resp_53;gendarme
Resp_53;guepe
Resp_53;abeille
Resp_53;libellule
Resp_53;moustique
Resp_53;faucheuse
Resp_53;papillon_de_nuit
Resp_53;mite
Resp_54;fourmi
Resp_54;asticot
Resp_54;cloporte
Resp_54;punaise
Resp_54;sauterelle
Resp_54;ver_de_terre
Resp_54;vers_luisant
Resp_54;mille_pattes
Resp_54;papillon
Resp_54;chenille
Resp_55;coccinelle
Resp_55;sauterelle
Resp_55;coleoptere
Resp_55;scarabee
Resp_55;araignee
Resp_55;puce
Resp_55;puceron
Resp_55;abeille
Resp_55;guepe
Resp_55;mouche
Resp_55;cousin
Resp_55;mite
Resp_55;papillon_de_nuit
Resp_55;criquet
Resp_55;cigale
Resp_55;fourmi
Resp_55;mille_pattes
Resp_55;bourdon
Resp_55;frelon
Resp_55;frelon_asiatique
Resp_55;escargot
Resp_56;fourmi
Resp_56;guepe
Resp_56;abeille
Resp_56;frelon
Resp_56;scarabee
Resp_56;bousier
Resp_56;coccinelle
Resp_56;moustique
Resp_56;mille_pattes
Resp_56;libellule
Resp_56;papillon
Resp_56;araignee
Resp_57;fourmi
Resp_57;coccinelle
Resp_57;papillon
Resp_57;mite
Resp_57;mouche
Resp_57;mante_religieuse
Resp_57;cafard
Resp_57;gendarme
Resp_57;abeille
Resp_57;bourdon
Resp_57;guepe
Resp_57;libellule
Resp_57;scarabee
Resp_57;frelon
Resp_57;sauterelle
Resp_57;cigale
Resp_57;cloporte
Resp_57;puce
Resp_57;termite
Resp_57;hanneton
Resp_57;escargot
Resp_57;punaise
Resp_57;moustique
Resp_57;taon
Resp_57;pince_oreilles
Resp_58;papillon
Resp_58;libellule
Resp_58;scarabee
Resp_58;gendarme
Resp_58;puce
Resp_58;phasme
Resp_58;coccinelle
Resp_58;mouche
Resp_58;blatte
Resp_58;cafard
Resp_58;mite
Resp_58;criquet
Resp_58;sauterelle
Resp_58;mante_religieuse
Resp_58;moustique
Resp_58;taon
Resp_58;guepe
Resp_58;abeille
Resp_58;frelon
Resp_58;fourmi
Resp_58;termite
Resp_58;cigale
Resp_58;hanneton
Resp_59;coccinelle
Resp_59;puce
Resp_59;coleoptere
Resp_59;mante_religieuse
Resp_59;gendarme
Resp_59;punaise
Resp_59;pou
Resp_59;mite
Resp_59;papillon
Resp_59;fourmi
Resp_59;araignee
Resp_59;termite
Resp_59;guepe
Resp_59;abeille
Resp_59;frelon
Resp_59;limace
Resp_59;escargot
Resp_59;grillon
Resp_59;hanneton
Resp_59;sauterelle
Resp_59;ver_de_terre
Resp_59;cafard
Resp_60;mante_religieuse
Resp_60;punaise_de_lit
Resp_60;abeille
Resp_60;guepe
Resp_60;coleoptere
Resp_60;gendarme
Resp_60;papillon
Resp_60;puceron
Resp_60;luciole
Resp_60;mouche
Resp_60;taon
Resp_60;moustique
Resp_60;cousin
Resp_60;scarabee
Resp_60;cafard
Resp_60;mite
Resp_60;criquet
Resp_60;cigale
Resp_60;puce
Resp_60;sauterelle
Resp_60;fourmi
Resp_60;termite
Resp_60;coccinelle
Resp_60;phasme
Resp_61;mouche
Resp_61;guepe
Resp_61;abeille
Resp_61;libellule
Resp_61;sauterelle
Resp_61;scarabee
Resp_61;scolopendre
Resp_61;araignee
Resp_61;ver_de_terre
Resp_61;mante_religieuse
Resp_61;punaise
Resp_61;phasme
Resp_61;blatte
Resp_61;fourmi
Resp_61;papillon
Resp_61;moucheron
Resp_61;taon
Resp_62;araignee
Resp_62;fourmi
Resp_62;limace
Resp_62;mille_pattes
Resp_62;cafard
Resp_62;moustique
Resp_62;abeille
Resp_62;papillon
Resp_63;fourmi
Resp_63;gendarme
Resp_63;coleoptere
Resp_63;mille_pattes
Resp_63;coccinelle
Resp_63;araignee
Resp_63;pince_oreilles
Resp_63;guepe
Resp_63;moustique
Resp_63;bourdon
Resp_63;mouche
Resp_63;mante_religieuse
Resp_63;scarabee
Resp_63;ver_de_terre
Resp_63;libellule
Resp_63;mite
Resp_64;gendarme
Resp_64;papillon
Resp_64;fourmi
Resp_64;sauterelle
Resp_64;coccinelle
Resp_64;mouche
Resp_64;abeille
Resp_65;papillon
Resp_65;fourmi
Resp_65;mante_religieuse
Resp_65;araignee
Resp_65;cigale
Resp_65;criquet
Resp_65;coccinelle
Resp_65;mouche
Resp_65;abeille
Resp_65;guepe
Resp_65;bourdon
Resp_65;libellule
Resp_65;mille_pattes
Resp_65;cloporte
Resp_65;sauterelle
Resp_65;taon
Resp_65;moustique
Resp_65;puce
Resp_65;puceron
Resp_65;punaise
Resp_66;papillon
Resp_66;araignee
Resp_66;abeille
Resp_66;guepe
Resp_66;frelon
Resp_66;taon
Resp_66;phasme
Resp_66;libellule
Resp_66;sauterelle
Resp_66;coccinelle
Resp_66;moustique
Resp_66;fourmi
Resp_67;araignee
Resp_67;papillon
Resp_67;abeille
Resp_67;sauterelle
Resp_67;fourmi
Resp_67;ephemere
Resp_67;scarabee
Resp_67;moustique
Resp_67;mouche
Resp_67;puce
Resp_68;mouche
Resp_68;moustique
Resp_68;fourmi
Resp_68;sauterelle
Resp_68;guepe
Resp_68;cafard
Resp_68;cousin
Resp_68;coccinelle
Resp_68;papillon
Resp_68;moucheron
Resp_69;fourmi
Resp_69;moustique
Resp_69;mouche
Resp_69;ver_de_terre
Resp_69;scarabee
Resp_69;papillon
Resp_69;araignee
Resp_69;abeille
Resp_69;guepe
Resp_69;punaise
Resp_70;chenille
Resp_70;mante_religieuse
Resp_70;scarabee
Resp_70;luciole
Resp_70;fourmi
Resp_70;moustique
Resp_70;abeille
Resp_70;termite
Resp_70;papillon_de_nuit
Resp_70;mouche
Resp_71;hanneton
Resp_71;mouche
Resp_71;libellule
Resp_71;coccinelle
Resp_71;taon
Resp_71;puce
Resp_71;puceron
Resp_71;mite
Resp_71;doryphore
Resp_71;papillon
Resp_72;grillon
Resp_72;cafard
Resp_72;coccinelle
Resp_72;criquet
Resp_72;mouche
Resp_72;punaise
Resp_72;bourdon
Resp_72;frelon
Resp_72;guepe
Resp_72;taon
Resp_72;papillon
Resp_72;doryphore
Resp_72;mite
Resp_72;ver_de_terre
Resp_72;coleoptere
Resp_72;gendarme
Resp_72;mille_pattes
Resp_72;fourmi
Resp_72;libellule
Resp_72;araignee
Resp_72;abeille
Resp_72;puce_de_sable
Resp_72;puce
Resp_73;fourmi
Resp_73;scarabee
Resp_73;coleoptere
Resp_73;abeille
Resp_73;frelon
Resp_73;guepe
Resp_73;scorpion
Resp_73;taon
Resp_74;mante_religieuse
Resp_74;cloporte
Resp_74;fourmi
Resp_74;mille_pattes
Resp_74;cafard
Resp_74;punaise
Resp_74;mite
Resp_74;moustique
Resp_74;mouche
Resp_74;libellule
Resp_74;pince_oreilles
Resp_74;cigale
Resp_74;grillon
Resp_75;cloporte
Resp_75;fourmi
Resp_75;scarabee
Resp_75;sauterelle
Resp_75;cafard
Resp_75;mouche
Resp_75;moustique
Resp_75;gendarme
Resp_75;coccinelle
Resp_75;ver_de_terre
Resp_75;luciole
Resp_76;moustique
Resp_76;phalene
Resp_76;araignee
Resp_76;mouche
Resp_76;guepe
Resp_76;abeille
Resp_76;frelon
Resp_76;taon
Resp_76;puceron
Resp_77;cafard
Resp_77;papillon
Resp_77;scarabee
Resp_77;ver_de_terre
Resp_77;fourmi
Resp_77;libellule
Resp_77;abeille
Resp_78;mante_religieuse
Resp_78;phasme
Resp_78;fourmi
Resp_78;coccinelle
Resp_78;gendarme
Resp_78;papillon
Resp_78;frelon
Resp_78;guepe
Resp_78;bourdon
Resp_78;abeille
Resp_78;cloporte
Resp_78;chenille
Resp_78;mille_pattes
Resp_78;araignee
Resp_78;grillon
Resp_78;criquet
Resp_79;coccinelle
Resp_79;chenille
Resp_79;mouche
Resp_79;abeille
Resp_79;fourmi
Resp_79;mante_religieuse
Resp_80;fourmi
Resp_80;araignee
Resp_80;moustique
Resp_80;blatte
Resp_80;abeille
Resp_80;mille_pattes
Resp_80;chenille
Resp_80;scarabee
Resp_80;escargot
Resp_81;araignee
Resp_81;moucheron
Resp_81;libellule
Resp_81;cloporte
Resp_81;fourmi
Resp_82;fourmi
Resp_82;abeille
Resp_82;papillon
Resp_82;chenille
Resp_82;ver_de_terre
Resp_82;mouche
Resp_82;moustique
Resp_82;frelon
Resp_82;mante_religieuse
Resp_82;araignee
Resp_82;mygale
Resp_82;guepe
Resp_82;cafard
Resp_82;termite
Resp_82;cigale
Resp_83;mouche
Resp_83;criquet
Resp_83;coleoptere
Resp_83;hanneton
Resp_83;mante_religieuse
Resp_83;abeille
Resp_83;guepe
Resp_83;cigale
Resp_83;fourmi
Resp_84;araignee
Resp_84;guepe
Resp_84;moustique
Resp_84;abeille
Resp_84;coleoptere
Resp_84;scarabee
Resp_84;mouche
Resp_84;sauterelle
Resp_84;coccinelle
Resp_84;bourdon
Resp_84;fourmi
Resp_84;mille_pattes
Resp_84;chenille
Resp_84;pince_oreilles
Resp_84;frelon
Resp_84;libellule
Resp_84;scorpion
Resp_84;ver_de_terre
Resp_84;escargot
Resp_84;limace
Resp_85;ver_de_terre
Resp_85;scarabee
Resp_85;cafard
Resp_85;libellule
Resp_85;moustique
Resp_85;mouche
Resp_85;termite
Resp_85;blatte
Resp_85;criquet
Resp_85;papillon
Resp_85;fourmi
Resp_86;abeille
Resp_86;guepe
Resp_86;frelon
Resp_86;sauterelle
Resp_86;criquet
Resp_86;grillon
Resp_86;cigale
Resp_86;fourmi
Resp_86;mouche
Resp_86;moustique
Resp_86;libellule
Resp_86;papillon
Resp_86;chenille
Resp_86;puce
Resp_86;tique
Resp_86;moucheron
Resp_86;scarabee
Resp_86;coccinelle
Resp_86;scorpion
Resp_87;fourmi
Resp_87;libellule
Resp_87;papillon
Resp_87;abeille
Resp_87;guepe
Resp_87;mante_religieuse
Resp_87;asticot
Resp_87;grillon
Resp_87;cigale
Resp_87;mouche
Resp_87;araignee
Resp_88;moustique
Resp_88;mouche
Resp_88;araignee
Resp_88;cafard
Resp_88;sauterelle
Resp_88;fourmi
Resp_88;cousin
Resp_88;pince_oreilles
Resp_88;gendarme
Resp_88;asticot
Resp_88;papillon
Resp_88;abeille
Resp_88;guepe
Resp_88;bourdon
Resp_89;libellule
Resp_89;papillon
Resp_89;cafard
Resp_89;mouche
Resp_89;moustique
Resp_89;cousin
Resp_89;mite
Resp_89;termite
Resp_89;coccinelle
Resp_89;mante_religieuse
Resp_89;moucheron
Resp_89;fourmi_rouge
Resp_89;fourmi_noire
Resp_89;scarabee
Resp_89;phasme
Resp_89;cloporte
Resp_90;fourmi
Resp_90;sauterelle
Resp_90;chenille
Resp_90;mille_pattes
Resp_90;pince_oreilles
Resp_90;cloporte
Resp_90;cafard
Resp_90;blatte
Resp_90;papillon
Resp_90;mouche
Resp_90;guepe
Resp_90;punaise
Resp_90;bousier
Resp_90;scarabee
Resp_91;mouche
Resp_91;moustique
Resp_91;guepe
Resp_91;scarabee
Resp_91;abeille
Resp_91;scorpion
Resp_91;blatte
Resp_91;cafard
Resp_91;papillon
Resp_91;mille_pattes
Resp_91;chenille
Resp_91;ver_de_terre
Resp_91;punaise
Resp_91;bourdon
Resp_91;taon
Resp_91;frelon
Resp_91;limace
Resp_92;coccinelle
Resp_92;hanneton
Resp_92;cafard
Resp_92;papillon
Resp_92;chenille
Resp_92;sauterelle
Resp_92;mante_religieuse
Resp_92;moustique
Resp_92;mouche
Resp_92;guepe
Resp_92;abeille
Resp_92;bourdon
Resp_92;carabe
Resp_92;fourmi
Resp_92;termite
Resp_92;blatte
Resp_92;moucheron
Resp_92;criquet
Resp_92;grillon
Resp_92;cigale
Resp_92;bousier
Resp_92;scarabee
Resp_92;gendarme
Resp_93;mouche
Resp_93;cafard
Resp_93;araignee
Resp_93;blatte
Resp_93;abeille
Resp_93;moustique
Resp_93;coccinelle
Resp_93;cloporte
Resp_93;mille_pattes
Resp_93;fourmi
Resp_93;papillon
Resp_93;ver_de_terre
Resp_94;cousin
Resp_94;mouche
Resp_94;araignee
Resp_94;mygale
Resp_94;puce
Resp_94;moustique
Resp_94;tique
Resp_94;taon
Resp_95;araignee
Resp_95;mouche
Resp_95;moustique
Resp_95;papillon
Resp_95;guepe
Resp_95;abeille
Resp_95;moucheron
Resp_95;bourdon
Resp_95;punaise
Resp_95;fourmi
Resp_95;mante_religieuse
Resp_95;gendarme
Resp_96;puce
Resp_96;ver
Resp_96;araignee
Resp_96;papillon
Resp_96;abeille
Resp_96;fourmi
Resp_96;termite
Resp_96;mouche
Resp_96;sauterelle
Resp_96;cigale
Resp_97;mante_religieuse
Resp_97;scarabee
Resp_97;gendarme
Resp_97;coccinelle
Resp_97;moustique
Resp_97;mouche
Resp_97;cousin
Resp_97;fourmi
Resp_97;scolopendre
Resp_97;cafard
Resp_97;guepe
Resp_98;fourmi
Resp_98;araignee
